date,open,high,close,low,volume,price_change,p_change
2015-04-17,2507.472,2511.981,2463.99,2453.281,13950362.0,-20.34,-0.82
2015-04-16,2420.931,2532.305,2484.33,2407.851,12556890.0,42.591,1.74
2015-04-15,2548.992,2548.992,2441.739,2441.739,14275999.0,-117.109,-4.58
2015-04-14,2584.586,2593.7,2558.848,2539.938,14653230.0,-18.928,-0.73
2015-04-13,2558.186,2596.922,2577.776,2545.258,15415818.0,24.947,0.98
2015-04-10,2475.555,2567.683,2552.829,2457.821,13792207.0,56.342,2.26
2015-04-09,2481.688,2501.296,2496.487,2346.888,16435610.0,8.329,0.34
2015-04-08,2566.937,2568.087,2488.158,2442.816,16881040.0,-68.54,-2.68
2015-04-07,2530.072,2557.874,2556.698,2522.262,14980178.0,46.538,1.85
2015-04-03,2469.847,2515.575,2510.16,2460.938,14909877.0,34.835,1.41
2015-04-02,2434.764,2475.325,2475.325,2420.187,15562804.0,70.416,2.93
2015-04-01,2346.996,2407.49,2404.909,2345.75,12903992.0,69.738,2.99
2015-03-31,2294.317,2358.206,2335.171,2288.311,12866258.0,44.695,1.95
2015-03-30,2319.307,2332.603,2290.476,2266.846,12196594.0,-33.342,-1.44
2015-03-27,2274.677,2326.418,2323.818,2267.868,12111399.0,32.029,1.4
2015-03-26,2362.446,2370.295,2291.789,2270.787,16920002.0,-93.225,-3.91
2015-03-25,2364.941,2405.559,2385.014,2344.109,17105896.0,27.045,1.15
2015-03-24,2310.513,2363.055,2357.969,2253.203,19795134.0,64.32,2.8
2015-03-23,2225.848,2293.918,2293.649,2221.713,16063279.0,79.883,3.61
2015-03-20,2187.468,2232.078,2213.766,2187.013,14970050.0,29.888,1.37
2015-03-19,2184.763,2192.553,2183.878,2160.986,13173262.0,0.959,0.04
2015-03-18,2138.366,2186.023,2182.919,2124.979,14615347.0,45.457,2.13
2015-03-17,2149.369,2164.49,2137.462,2117.78,15488670.0,-5.21,-0.24
